mover-maquina(m1:maquina,recogida:ubicacion,pasillo1:ubicacion)
mover-maquina(m1:maquina,pasillo1:ubicacion,facturacion:ubicacion)
mover-maquina(m1:maquina,facturacion:ubicacion,pasillo2:ubicacion)
mover-maquina(m1:maquina,pasillo2:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
mover-maquina(m1:maquina,inspeccion:ubicacion,pasillo3:ubicacion)
mover-maquina(m1:maquina,pasillo3:ubicacion,inspeccion:ubicacion)
