episode,done,steps,return,epsilon,num_states
0,0,2000,0.0,1.0,221
1,1,656,1.0,0.995,238
2,0,2000,0.0,0.990025,380
3,0,2000,0.0,0.985074875,506
4,0,2000,0.0,0.9801495006250001,566
5,0,2000,0.0,0.9752487531218751,619
6,1,1528,1.0,0.9703725093562657,630
7,0,2000,0.0,0.9655206468094844,698
8,0,2000,0.0,0.960693043575437,743
9,1,568,1.0,0.9558895783575597,786
10,0,2000,0.0,0.9511101304657719,805
11,0,2000,0.0,0.946354579813443,825
12,0,2000,0.0,0.9416228069143757,841
13,1,846,1.0,0.9369146928798039,850
14,1,1716,1.0,0.9322301194154049,851
15,0,2000,0.0,0.9275689688183278,879
16,0,2000,0.0,0.9229311239742362,880
17,0,2000,0.0,0.918316468354365,934
18,0,2000,0.0,0.9137248860125932,934
19,1,1058,1.0,0.9091562615825302,934
20,0,2000,0.0,0.9046104802746175,986
21,1,608,1.0,0.9000874278732445,986
22,0,2000,0.0,0.8955869907338783,997
23,1,1544,1.0,0.8911090557802088,1055
24,1,988,1.0,0.8866535105013078,1070
25,1,1452,1.0,0.8822202429488013,1089
26,0,2000,0.0,0.8778091417340573,1140
27,1,666,1.0,0.8734200960253871,1140
28,1,1094,1.0,0.8690529955452602,1142
29,1,96,1.0,0.8647077305675338,1144
30,1,1520,1.0,0.8603841919146962,1155
31,1,72,1.0,0.8560822709551227,1155
32,1,122,1.0,0.851801859600347,1155
33,1,336,1.0,0.8475428503023453,1155
34,1,334,1.0,0.8433051360508336,1155
35,1,428,1.0,0.8390886103705794,1157
36,1,1308,1.0,0.8348931673187264,1225
37,1,168,1.0,0.8307187014821328,1225
38,1,1332,1.0,0.8265651079747222,1237
39,1,288,1.0,0.8224322824348486,1237
40,1,160,1.0,0.8183201210226743,1237
41,1,114,1.0,0.8142285204175609,1237
42,1,112,1.0,0.810157377815473,1237
43,1,300,1.0,0.8061065909263957,1237
44,1,62,1.0,0.8020760579717637,1237
45,1,146,1.0,0.798065677681905,1238
46,1,92,1.0,0.7940753492934954,1238
47,1,162,1.0,0.7901049725470279,1238
48,1,136,1.0,0.7861544476842928,1238
49,1,178,1.0,0.7822236754458713,1238
50,1,132,1.0,0.778312557068642,1238
51,1,316,1.0,0.7744209942832988,1238
52,1,290,1.0,0.7705488893118823,1238
53,1,228,1.0,0.7666961448653229,1238
54,1,426,1.0,0.7628626641409962,1240
55,1,152,1.0,0.7590483508202912,1240
56,1,140,1.0,0.7552531090661897,1241
57,1,254,1.0,0.7514768435208588,1242
58,1,236,1.0,0.7477194593032545,1242
59,1,86,1.0,0.7439808620067382,1242
60,1,70,1.0,0.7402609576967045,1242
61,1,234,1.0,0.736559652908221,1242
62,1,230,1.0,0.7328768546436799,1242
63,1,96,1.0,0.7292124703704616,1242
64,1,190,1.0,0.7255664080186093,1242
65,1,404,1.0,0.7219385759785162,1243
66,1,284,1.0,0.7183288830986236,1244
67,1,354,1.0,0.7147372386831305,1254
68,1,254,1.0,0.7111635524897149,1254
69,1,132,1.0,0.7076077347272662,1254
70,1,100,1.0,0.7040696960536299,1254
71,1,250,1.0,0.7005493475733617,1254
72,1,84,1.0,0.697046600835495,1254
73,1,472,1.0,0.6935613678313175,1254
74,1,54,1.0,0.6900935609921609,1254
75,1,88,1.0,0.6866430931872001,1254
76,1,162,1.0,0.6832098777212641,1254
77,1,54,1.0,0.6797938283326578,1254
78,1,62,1.0,0.6763948591909945,1254
79,1,130,1.0,0.6730128848950395,1254
80,1,86,1.0,0.6696478204705644,1254
81,1,64,1.0,0.6662995813682115,1254
82,1,42,1.0,0.6629680834613705,1254
83,1,90,1.0,0.6596532430440636,1254
84,1,86,1.0,0.6563549768288433,1254
85,1,98,1.0,0.653073201944699,1254
86,1,68,1.0,0.6498078359349755,1254
87,1,148,1.0,0.6465587967553006,1254
88,1,46,1.0,0.6433260027715241,1254
89,1,102,1.0,0.6401093727576664,1254
90,1,68,1.0,0.6369088258938781,1254
91,1,50,1.0,0.6337242817644086,1254
92,1,94,1.0,0.6305556603555866,1254
93,1,80,1.0,0.6274028820538087,1254
94,1,74,1.0,0.6242658676435396,1254
95,1,38,1.0,0.6211445383053219,1254
96,1,74,1.0,0.6180388156137953,1254
97,1,38,1.0,0.6149486215357263,1254
98,1,64,1.0,0.6118738784280476,1254
99,1,96,1.0,0.6088145090359074,1254
100,1,48,1.0,0.6057704364907278,1254
101,1,56,1.0,0.6027415843082742,1254
102,1,104,1.0,0.5997278763867329,1254
103,1,44,1.0,0.5967292370047992,1254
104,1,54,1.0,0.5937455908197752,1254
105,1,38,1.0,0.5907768628656763,1254
106,1,78,1.0,0.5878229785513479,1254
107,1,32,1.0,0.5848838636585911,1254
108,1,100,1.0,0.5819594443402982,1254
109,1,28,1.0,0.5790496471185967,1254
110,1,84,1.0,0.5761543988830038,1254
111,1,72,1.0,0.5732736268885887,1254
112,1,38,1.0,0.5704072587541458,1254
113,1,92,1.0,0.567555222460375,1254
114,1,76,1.0,0.5647174463480732,1254
115,1,74,1.0,0.5618938591163328,1254
116,1,66,1.0,0.5590843898207511,1254
117,1,48,1.0,0.5562889678716474,1254
118,1,54,1.0,0.5535075230322891,1254
119,1,88,1.0,0.5507399854171277,1254
120,1,32,1.0,0.547986285490042,1254
121,1,48,1.0,0.5452463540625918,1254
122,1,42,1.0,0.5425201222922789,1254
123,1,72,1.0,0.5398075216808175,1254
124,1,68,1.0,0.5371084840724134,1254
125,1,82,1.0,0.5344229416520513,1254
126,1,46,1.0,0.531750826943791,1254
127,1,48,1.0,0.5290920728090721,1254
128,1,28,1.0,0.5264466124450268,1254
