episode,done,steps,return,epsilon,num_states
0,0,2000,0.0,1.0,147
1,0,2000,0.0,0.995,202
2,0,2000,0.0,0.990025,230
3,0,2000,0.0,0.985074875,234
4,0,2000,0.0,0.9801495006250001,273
5,1,1264,1.0,0.9752487531218751,310
6,1,644,1.0,0.9703725093562657,320
7,1,1548,1.0,0.9655206468094844,324
8,1,556,1.0,0.960693043575437,324
9,1,748,1.0,0.9558895783575597,324
10,1,402,1.0,0.9511101304657719,327
11,1,280,1.0,0.946354579813443,327
12,1,1504,1.0,0.9416228069143757,335
13,1,1264,1.0,0.9369146928798039,383
14,1,982,1.0,0.9322301194154049,383
15,1,256,1.0,0.9275689688183278,387
16,1,148,1.0,0.9229311239742362,387
17,1,564,1.0,0.918316468354365,388
18,1,200,1.0,0.9137248860125932,388
19,1,406,1.0,0.9091562615825302,388
20,1,330,1.0,0.9046104802746175,388
21,1,98,1.0,0.9000874278732445,388
22,1,666,1.0,0.8955869907338783,388
23,1,764,1.0,0.8911090557802088,391
24,1,122,1.0,0.8866535105013078,392
25,1,86,1.0,0.8822202429488013,392
26,1,90,1.0,0.8778091417340573,392
27,1,498,1.0,0.8734200960253871,392
28,1,180,1.0,0.8690529955452602,392
29,1,64,1.0,0.8647077305675338,392
30,1,1162,1.0,0.8603841919146962,392
31,1,116,1.0,0.8560822709551227,392
32,1,488,1.0,0.851801859600347,392
33,1,254,1.0,0.8475428503023453,396
34,1,484,1.0,0.8433051360508336,396
35,1,88,1.0,0.8390886103705794,396
36,1,276,1.0,0.8348931673187264,396
37,1,250,1.0,0.8307187014821328,397
38,1,232,1.0,0.8265651079747222,397
39,1,28,1.0,0.8224322824348486,397
40,1,156,1.0,0.8183201210226743,399
41,1,76,1.0,0.8142285204175609,399
42,1,256,1.0,0.810157377815473,399
43,1,132,1.0,0.8061065909263957,399
44,1,118,1.0,0.8020760579717637,399
45,1,290,1.0,0.798065677681905,399
46,1,102,1.0,0.7940753492934954,399
47,1,154,1.0,0.7901049725470279,399
48,1,50,1.0,0.7861544476842928,399
49,1,242,1.0,0.7822236754458713,399
50,1,112,1.0,0.778312557068642,399
51,1,76,1.0,0.7744209942832988,399
52,1,74,1.0,0.7705488893118823,399
53,1,96,1.0,0.7666961448653229,399
54,1,114,1.0,0.7628626641409962,399
55,1,276,1.0,0.7590483508202912,399
56,1,226,1.0,0.7552531090661897,399
57,1,118,1.0,0.7514768435208588,399
58,1,58,1.0,0.7477194593032545,399
59,1,64,1.0,0.7439808620067382,399
60,1,52,1.0,0.7402609576967045,399
61,1,24,1.0,0.736559652908221,399
62,1,136,1.0,0.7328768546436799,399
63,1,72,1.0,0.7292124703704616,399
64,1,134,1.0,0.7255664080186093,399
65,1,132,1.0,0.7219385759785162,399
66,1,112,1.0,0.7183288830986236,399
67,1,44,1.0,0.7147372386831305,399
68,1,44,1.0,0.7111635524897149,399
69,1,84,1.0,0.7076077347272662,399
70,1,222,1.0,0.7040696960536299,399
71,1,40,1.0,0.7005493475733617,399
72,1,88,1.0,0.697046600835495,399
73,1,62,1.0,0.6935613678313175,399
74,1,66,1.0,0.6900935609921609,399
75,1,82,1.0,0.6866430931872001,399
76,1,86,1.0,0.6832098777212641,399
77,1,26,1.0,0.6797938283326578,399
78,1,26,1.0,0.6763948591909945,399
79,1,96,1.0,0.6730128848950395,399
80,1,30,1.0,0.6696478204705644,399
81,1,32,1.0,0.6662995813682115,399
82,1,60,1.0,0.6629680834613705,399
83,1,42,1.0,0.6596532430440636,399
84,1,82,1.0,0.6563549768288433,399
85,1,100,1.0,0.653073201944699,399
86,1,50,1.0,0.6498078359349755,399
87,1,44,1.0,0.6465587967553006,399
88,1,44,1.0,0.6433260027715241,399
89,1,32,1.0,0.6401093727576664,399
90,1,56,1.0,0.6369088258938781,399
91,1,76,1.0,0.6337242817644086,399
92,1,52,1.0,0.6305556603555866,399
93,1,84,1.0,0.6274028820538087,399
94,1,50,1.0,0.6242658676435396,399
95,1,58,1.0,0.6211445383053219,399
96,1,28,1.0,0.6180388156137953,399
97,1,100,1.0,0.6149486215357263,399
98,1,62,1.0,0.6118738784280476,399
99,1,48,1.0,0.6088145090359074,399
100,1,70,1.0,0.6057704364907278,399
101,1,42,1.0,0.6027415843082742,399
102,1,68,1.0,0.5997278763867329,399
103,1,38,1.0,0.5967292370047992,399
104,1,32,1.0,0.5937455908197752,399
105,1,52,1.0,0.5907768628656763,399
106,1,48,1.0,0.5878229785513479,399
107,1,54,1.0,0.5848838636585911,399
108,1,24,1.0,0.5819594443402982,399
109,1,24,1.0,0.5790496471185967,399
110,1,64,1.0,0.5761543988830038,399
111,1,44,1.0,0.5732736268885887,399
112,1,54,1.0,0.5704072587541458,399
113,1,64,1.0,0.567555222460375,399
114,1,64,1.0,0.5647174463480732,399
115,1,26,1.0,0.5618938591163328,399
116,1,90,1.0,0.5590843898207511,399
117,1,26,1.0,0.5562889678716474,399
118,1,44,1.0,0.5535075230322891,399
119,1,32,1.0,0.5507399854171277,399
120,1,26,1.0,0.547986285490042,399
121,1,42,1.0,0.5452463540625918,399
122,1,40,1.0,0.5425201222922789,399
123,1,40,1.0,0.5398075216808175,399
124,1,42,1.0,0.5371084840724134,399
125,1,36,1.0,0.5344229416520513,399
126,1,42,1.0,0.531750826943791,399
127,1,20,1.0,0.5290920728090721,399
128,1,22,1.0,0.5264466124450268,399
129,1,46,1.0,0.5238143793828016,399
130,1,18,1.0,0.5211953074858876,399
131,1,18,1.0,0.5185893309484582,399
132,1,24,1.0,0.5159963842937159,399
133,1,44,1.0,0.5134164023722473,399
134,1,42,1.0,0.510849320360386,399
135,1,38,1.0,0.5082950737585841,399
136,1,44,1.0,0.5057535983897912,399
137,1,18,1.0,0.5032248303978422,399
138,1,26,1.0,0.500708706245853,399
139,1,58,1.0,0.4982051627146237,399
140,1,38,1.0,0.49571413690105054,399
141,1,30,1.0,0.4932355662165453,399
142,1,30,1.0,0.4907693883854626,399
143,1,28,1.0,0.4883155414435353,399
144,1,44,1.0,0.4858739637363176,399
145,1,24,1.0,0.483444593917636,399
146,1,70,1.0,0.4810273709480478,399
147,1,40,1.0,0.47862223409330756,399
148,1,90,1.0,0.47622912292284103,399
149,1,36,1.0,0.4738479773082268,399
150,1,16,1.0,0.47147873742168567,399
151,1,18,1.0,0.46912134373457726,399
152,1,18,1.0,0.46677573701590436,399
153,1,28,1.0,0.46444185833082485,399
154,1,42,1.0,0.46211964903917074,399
155,1,38,1.0,0.4598090507939749,399
156,1,22,1.0,0.457510005540005,399
157,1,48,1.0,0.45522245551230495,399
158,1,28,1.0,0.4529463432347434,399
159,1,34,1.0,0.4506816115185697,399
160,1,24,1.0,0.4484282034609769,399
161,1,28,1.0,0.446186062443672,399
162,1,20,1.0,0.4439551321314536,399
163,1,18,1.0,0.4417353564707963,399
164,1,34,1.0,0.43952667968844233,399
165,1,34,1.0,0.43732904629000013,399
166,1,32,1.0,0.4351424010585501,399
167,1,20,1.0,0.43296668905325736,399
168,1,28,1.0,0.43080185560799106,399
169,1,18,1.0,0.4286478463299511,399
170,1,28,1.0,0.42650460709830135,399
171,1,40,1.0,0.42437208406280985,399
172,1,14,1.0,0.4222502236424958,399
173,1,24,1.0,0.42013897252428334,399
174,1,26,1.0,0.4180382776616619,399
175,1,50,1.0,0.4159480862733536,399
176,1,20,1.0,0.41386834584198684,399
177,1,54,1.0,0.4117990041127769,399
178,1,18,1.0,0.40974000909221303,399
179,1,24,1.0,0.40769130904675194,399
180,1,36,1.0,0.40565285250151817,399
181,1,28,1.0,0.4036245882390106,399
182,1,26,1.0,0.4016064652978155,399
183,1,20,1.0,0.3995984329713264,399
184,1,22,1.0,0.3976004408064698,399
185,1,16,1.0,0.39561243860243744,399
186,1,20,1.0,0.3936343764094253,399
187,1,22,1.0,0.39166620452737816,399
188,1,28,1.0,0.3897078735047413,399
189,1,20,1.0,0.3877593341372176,399
190,1,18,1.0,0.3858205374665315,399
191,1,34,1.0,0.38389143477919885,399
192,1,28,1.0,0.3819719776053028,399
193,1,40,1.0,0.3800621177172763,399
194,1,34,1.0,0.37816180712868996,399
195,1,20,1.0,0.37627099809304654,399
196,1,30,1.0,0.3743896431025813,399
197,1,30,1.0,0.37251769488706843,399
198,1,30,1.0,0.3706551064126331,399
199,1,28,1.0,0.36880183088056995,399
200,1,28,1.0,0.3669578217261671,399
201,1,14,1.0,0.36512303261753626,399
202,1,30,1.0,0.3632974174544486,399
203,1,34,1.0,0.3614809303671764,399
204,1,22,1.0,0.3596735257153405,399
205,1,18,1.0,0.3578751580867638,399
206,1,28,1.0,0.35608578229633,399
207,1,16,1.0,0.3543053533848483,399
208,1,30,1.0,0.35253382661792404,399
209,1,24,1.0,0.3507711574848344,399
210,1,24,1.0,0.34901730169741024,399
211,1,18,1.0,0.3472722151889232,399
