episode,done,steps,return,epsilon,num_states
0,0,2000,0.0,1.0,132
1,1,652,1.0,0.999,205
2,1,890,1.0,0.998001,247
3,1,748,1.0,0.997002999,275
4,1,674,1.0,0.996005996001,290
5,1,294,1.0,0.995009990004999,292
6,1,370,1.0,0.994014980014994,292
7,1,1186,1.0,0.993020965034979,325
8,1,514,1.0,0.9920279440699441,326
9,1,1262,1.0,0.9910359161258742,331
10,1,430,1.0,0.9900448802097482,331
11,1,1776,1.0,0.9890548353295385,332
12,0,2000,0.0,0.988065780494209,358
13,1,392,1.0,0.9870777147137147,358
14,1,184,1.0,0.986090636999001,358
15,0,2000,0.0,0.9851045463620021,374
16,0,2000,0.0,0.98411944181564,376
17,0,2000,0.0,0.9831353223738244,376
18,1,638,1.0,0.9821521870514506,376
19,1,1052,1.0,0.9811700348643991,390
20,1,1940,1.0,0.9801888648295347,391
21,0,2000,0.0,0.9792086759647052,401
22,1,206,1.0,0.9782294672887405,401
23,1,480,1.0,0.9772512378214517,401
24,1,536,1.0,0.9762739865836303,401
25,0,2000,0.0,0.9752977125970467,406
26,1,1406,1.0,0.9743224148844496,406
27,1,136,1.0,0.9733480924695651,406
28,1,1292,1.0,0.9723747443770956,406
29,1,706,1.0,0.9714023696327185,406
30,1,568,1.0,0.9704309672630859,406
31,1,902,1.0,0.9694605362958227,406
32,1,698,1.0,0.9684910757595269,406
33,1,994,1.0,0.9675225846837673,406
34,0,2000,0.0,0.9665550620990835,406
35,1,284,1.0,0.9655885070369844,406
36,1,794,1.0,0.9646229185299474,406
37,1,396,1.0,0.9636582956114175,406
38,1,1784,1.0,0.9626946373158061,406
39,0,2000,0.0,0.9617319426784903,406
40,1,1808,1.0,0.9607702107358118,406
41,1,1856,1.0,0.959809440525076,406
42,1,258,1.0,0.9588496310845509,406
43,1,702,1.0,0.9578907814534664,406
44,1,1090,1.0,0.9569328906720129,406
45,1,1944,1.0,0.9559759577813409,407
46,1,366,1.0,0.9550199818235596,407
47,1,32,1.0,0.9540649618417361,407
48,1,976,1.0,0.9531108968798944,407
49,1,226,1.0,0.9521577859830145,407
50,0,2000,0.0,0.9512056281970315,407
51,0,2000,0.0,0.9502544225688344,407
52,1,1434,1.0,0.9493041681462656,407
53,1,800,1.0,0.9483548639781193,407
54,1,420,1.0,0.9474065091141411,407
55,1,138,1.0,0.946459102605027,407
56,1,268,1.0,0.9455126435024219,407
57,1,618,1.0,0.9445671308589195,407
58,1,504,1.0,0.9436225637280606,407
59,1,446,1.0,0.9426789411643326,407
60,1,1854,1.0,0.9417362622231683,407
61,1,516,1.0,0.9407945259609451,407
62,1,586,1.0,0.9398537314349842,407
63,1,368,1.0,0.9389138777035492,407
64,1,544,1.0,0.9379749638258457,407
65,1,298,1.0,0.9370369888620198,407
66,1,228,1.0,0.9360999518731578,407
67,1,196,1.0,0.9351638519212846,407
68,1,110,1.0,0.9342286880693633,407
69,1,1260,1.0,0.933294459381294,407
70,1,602,1.0,0.9323611649219127,407
71,1,882,1.0,0.9314288037569908,407
72,1,240,1.0,0.9304973749532338,407
73,1,976,1.0,0.9295668775782806,407
74,1,280,1.0,0.9286373107007023,407
75,1,594,1.0,0.9277086733900016,407
76,1,808,1.0,0.9267809647166116,407
77,1,416,1.0,0.925854183751895,407
78,1,454,1.0,0.9249283295681431,407
79,1,402,1.0,0.9240034012385749,407
80,1,370,1.0,0.9230793978373364,407
81,1,254,1.0,0.9221563184394991,407
82,1,696,1.0,0.9212341621210596,407
83,1,306,1.0,0.9203129279589385,407
84,1,540,1.0,0.9193926150309796,407
85,1,190,1.0,0.9184732224159486,407
86,1,1374,1.0,0.9175547491935327,407
87,1,1080,1.0,0.9166371944443392,407
88,1,248,1.0,0.9157205572498949,407
89,1,264,1.0,0.914804836692645,407
90,1,194,1.0,0.9138900318559524,407
91,1,1580,1.0,0.9129761418240965,407
92,1,1220,1.0,0.9120631656822724,407
93,1,132,1.0,0.9111511025165902,407
94,1,160,1.0,0.9102399514140735,407
95,1,116,1.0,0.9093297114626595,407
96,1,470,1.0,0.9084203817511969,407
97,1,1516,1.0,0.9075119613694457,407
98,1,378,1.0,0.9066044494080763,407
99,1,714,1.0,0.9056978449586682,407
100,1,436,1.0,0.9047921471137096,407
101,1,138,1.0,0.9038873549665959,407
102,1,336,1.0,0.9029834676116293,407
