problem_index,problem_name,alpha,gamma,eps_name,eps_start,eps_min,eps_decay,seed,num_actions,num_states,train_time_sec,success_rate_last100,avg_steps_success_last100,plan_done,plan_len
0,S_pfile1,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,0,41,395,22.866,1.000,14.720,1,14
0,S_pfile1,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,1,41,402,22.863,1.000,14.920,1,14
0,S_pfile1,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,2,41,399,23.873,1.000,15.140,1,14
0,S_pfile1,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,0,41,407,54.645,1.000,25.720,1,14
0,S_pfile1,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,1,41,407,52.011,1.000,26.720,1,14
0,S_pfile1,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,2,41,407,50.514,1.000,26.420,1,14
0,S_pfile1,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,0,41,391,22.014,1.000,14.800,1,14
0,S_pfile1,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,1,41,404,22.632,1.000,14.980,1,14
0,S_pfile1,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,2,41,391,21.983,1.000,14.860,1,14
0,S_pfile1,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,0,41,407,56.839,1.000,26.640,1,14
0,S_pfile1,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,1,41,407,54.596,1.000,26.120,1,14
0,S_pfile1,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,2,41,407,51.209,1.000,26.960,1,14
0,S_pfile1,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,0,41,379,21.849,1.000,14.800,1,14
0,S_pfile1,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,1,41,392,23.474,1.000,14.920,1,14
0,S_pfile1,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,2,41,406,22.362,1.000,14.940,1,14
0,S_pfile1,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,0,41,407,57.350,1.000,25.340,1,14
0,S_pfile1,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,1,41,407,53.796,1.000,26.440,1,14
0,S_pfile1,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,2,41,407,54.725,1.000,26.100,1,14
0,S_pfile1,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,0,41,400,22.646,1.000,14.920,1,14
0,S_pfile1,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,1,41,397,23.127,1.000,15.060,1,14
0,S_pfile1,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,2,41,383,22.008,1.000,15.200,1,14
0,S_pfile1,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,0,41,407,56.237,1.000,26.680,1,14
0,S_pfile1,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,1,41,407,54.432,1.000,27.580,1,14
0,S_pfile1,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,2,41,407,53.899,1.000,25.700,1,14
0,S_pfile1,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,0,41,395,23.134,1.000,14.840,1,14
0,S_pfile1,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,1,41,399,23.870,1.000,14.900,1,14
0,S_pfile1,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,2,41,403,22.194,1.000,15.000,1,14
0,S_pfile1,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,0,41,407,52.623,1.000,25.540,1,14
0,S_pfile1,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,1,41,407,52.437,1.000,26.420,1,14
0,S_pfile1,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,2,41,407,54.899,1.000,26.920,1,14
0,S_pfile1,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,0,41,403,21.968,1.000,14.860,1,14
0,S_pfile1,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,1,41,389,21.020,1.000,15.140,1,14
0,S_pfile1,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,2,41,393,21.648,1.000,14.920,1,14
0,S_pfile1,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,0,41,407,54.145,1.000,25.340,1,14
0,S_pfile1,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,1,41,406,50.848,1.000,26.380,1,14
0,S_pfile1,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,2,41,407,53.839,1.000,26.900,1,14
1,M_pfile2,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,0,65,1304,43.339,1.000,21.280,1,20
1,M_pfile2,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,1,65,1341,40.687,1.000,21.200,1,20
1,M_pfile2,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,2,65,1353,44.086,1.000,21.260,1,20
1,M_pfile2,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,0,65,1424,110.214,1.000,36.500,1,20
1,M_pfile2,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,1,65,1461,111.223,1.000,37.860,1,20
1,M_pfile2,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,2,65,1450,114.868,1.000,36.380,1,20
1,M_pfile2,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,0,65,1322,45.300,1.000,21.440,1,20
1,M_pfile2,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,1,65,1329,48.958,1.000,21.160,1,20
1,M_pfile2,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,2,65,1323,41.712,1.000,21.380,1,20
1,M_pfile2,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,0,65,1465,113.227,1.000,38.100,1,20
1,M_pfile2,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,1,65,1449,114.111,1.000,38.020,1,20
1,M_pfile2,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,2,65,1473,114.218,1.000,37.200,1,20
1,M_pfile2,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,0,65,1295,42.172,1.000,21.360,1,20
1,M_pfile2,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,1,65,1254,41.615,1.000,21.340,1,20
1,M_pfile2,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,2,65,1293,44.514,1.000,21.480,1,20
1,M_pfile2,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,0,65,1474,110.520,1.000,36.160,1,20
1,M_pfile2,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,1,65,1457,114.422,1.000,36.940,1,20
1,M_pfile2,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,2,65,1471,119.004,1.000,36.100,1,20
1,M_pfile2,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,0,65,1322,70.726,1.000,21.480,1,20
1,M_pfile2,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,1,65,1385,40.609,1.000,21.120,1,20
1,M_pfile2,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,2,65,1278,39.950,1.000,21.140,1,20
1,M_pfile2,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,0,65,1463,111.513,1.000,37.840,1,20
1,M_pfile2,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,1,65,1461,113.298,1.000,38.000,1,20
1,M_pfile2,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,2,65,1451,115.128,1.000,36.600,1,20
1,M_pfile2,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,0,65,1263,43.375,1.000,21.520,1,20
1,M_pfile2,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,1,65,1249,41.543,1.000,20.960,1,20
1,M_pfile2,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,2,65,1354,51.385,1.000,21.580,1,20
1,M_pfile2,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,0,65,1467,112.439,1.000,37.760,1,20
1,M_pfile2,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,1,65,1462,108.447,1.000,38.880,1,20
1,M_pfile2,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,2,65,1467,112.811,1.000,37.880,1,20
1,M_pfile2,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,0,65,1274,58.087,1.000,21.320,1,20
1,M_pfile2,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,1,65,1290,42.904,1.000,21.260,1,20
1,M_pfile2,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,2,65,1323,46.607,1.000,21.260,1,20
1,M_pfile2,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,0,65,1474,118.230,1.000,38.440,1,20
1,M_pfile2,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,1,65,1439,113.357,1.000,37.560,1,20
1,M_pfile2,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,2,65,1469,112.915,1.000,36.860,1,20
2,L_pfile3,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,0,212,15684,1177.277,0.000,-1.000,0,500
2,L_pfile3,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,1,212,14719,345.171,0.990,15.737,1,15
2,L_pfile3,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,2,212,15568,1166.270,0.000,-1.000,0,500
2,L_pfile3,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,0,212,32806,446.585,1.000,29.220,1,14
2,L_pfile3,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,1,212,33451,440.993,0.990,26.414,1,14
2,L_pfile3,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,2,212,32611,412.511,1.000,27.020,1,14
2,L_pfile3,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,0,212,14874,1155.670,0.000,-1.000,0,500
2,L_pfile3,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,1,212,14602,1156.566,0.000,-1.000,0,500
2,L_pfile3,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,2,212,14641,1153.730,0.000,-1.000,0,500
2,L_pfile3,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,0,212,34249,507.601,1.000,42.720,1,22
2,L_pfile3,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,1,212,34430,540.821,1.000,28.670,1,14
2,L_pfile3,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,2,212,36896,619.366,0.970,39.474,1,14
2,L_pfile3,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,0,212,14595,1158.910,0.000,-1.000,0,500
2,L_pfile3,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,1,212,15642,1171.860,0.000,-1.000,0,500
2,L_pfile3,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,2,212,14141,1161.981,0.000,-1.000,0,500
2,L_pfile3,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,0,212,34230,448.414,1.000,29.070,1,14
2,L_pfile3,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,1,212,31355,399.436,1.000,37.640,1,14
2,L_pfile3,0.2,0.9,eps_decay_slow,1.0,0.05,0.999,2,212,31426,391.513,1.000,26.820,1,14
2,L_pfile3,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,0,212,14615,202.244,1.000,14.970,1,14
2,L_pfile3,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,1,212,14850,255.000,1.000,14.940,1,14
2,L_pfile3,0.2,0.99,eps_decay_fast,1.0,0.05,0.995,2,212,14472,252.159,1.000,16.090,1,15
2,L_pfile3,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,0,212,33109,476.097,1.000,27.210,1,14
2,L_pfile3,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,1,212,32316,386.516,1.000,28.130,1,14
2,L_pfile3,0.2,0.99,eps_decay_slow,1.0,0.05,0.999,2,212,32220,393.518,1.000,28.970,1,14
2,L_pfile3,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,0,212,13883,285.116,1.000,14.750,1,14
2,L_pfile3,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,1,212,14038,1159.824,0.000,-1.000,0,500
2,L_pfile3,0.5,0.9,eps_decay_fast,1.0,0.05,0.995,2,212,13929,1160.928,0.000,-1.000,0,500
2,L_pfile3,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,0,212,32617,452.349,1.000,26.280,1,14
2,L_pfile3,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,1,212,37131,512.022,1.000,27.390,1,14
2,L_pfile3,0.5,0.9,eps_decay_slow,1.0,0.05,0.999,2,212,34665,453.050,1.000,26.210,1,14
2,L_pfile3,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,0,212,13575,1152.303,0.010,1097.000,0,500
2,L_pfile3,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,1,212,15788,174.275,1.000,14.920,1,14
2,L_pfile3,0.5,0.99,eps_decay_fast,1.0,0.05,0.995,2,212,15294,1157.703,0.000,-1.000,0,500
2,L_pfile3,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,0,212,34695,451.896,1.000,28.890,1,14
2,L_pfile3,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,1,212,33303,457.680,1.000,27.180,1,14
2,L_pfile3,0.5,0.99,eps_decay_slow,1.0,0.05,0.999,2,212,31336,382.280,1.000,29.190,1,14
3,IMP_pfile4,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,0,27,63,491.567,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,1,27,63,490.635,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.9,eps_decay_fast,1.0,0.05,0.995,2,27,63,491.166,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,0,27,63,512.584,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,1,27,63,511.871,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.9,eps_decay_slow,1.0,0.05,0.999,2,27,63,512.415,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,0,27,63,492.820,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,1,27,63,491.243,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_fast,1.0,0.05,0.995,2,27,63,492.293,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,0,27,63,511.899,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,1,27,63,510.547,0.000,-1.000,0,500
3,IMP_pfile4,0.1,0.99,eps_decay_slow,1.0,0.05,0.999,2,27,63,510.553,0.000,-1.000,0,500
3,IMP_pfile4,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,0,27,63,491.142,0.000,-1.000,0,500
3,IMP_pfile4,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,1,27,63,491.750,0.000,-1.000,0,500
3,IMP_pfile4,0.2,0.9,eps_decay_fast,1.0,0.05,0.995,2,27,63,491.658,0.000,-1.000,0,500
